pattern_components,pattern_gaps,pattern_size,intervals_count,intervals
"[{1, 2, 12, 17}]","[]",4,13,"(161763,162365);(412326,412952);(413143,413679);(444205,444705);(725928,726808);(742527,743059);(822340,822840);(925280,925942);(926493,927059);(956477,957004);(1076922,1077475);(1105646,1106189);(1270219,1270945)"
"[{1, 2, 12, 18}]","[]",4,7,"(413143,413645);(426259,426891);(742418,742918);(925442,925942);(1266895,1267653);(1268813,1269313);(1270174,1270940)"
"[{1, 2, 12, 21}]","[]",4,1,"(726125,726808)"
"[{1, 2, 12, 23}]","[]",4,1,"(1474071,1474571)"
"[{1, 2, 17, 18}]","[]",4,18,"(5654,6234);(48978,49748);(96261,97104);(98658,99199);(129742,130242);(271959,272603);(305157,305896);(426111,426800);(441644,442565);(444536,445042);(491013,491612);(521982,522643);(630427,631095);(776994,777520);(925377,925877);(972017,972646);(1092243,1092743);(1269960,1270460)"
"[{1, 2, 17, 21}]","[]",4,2,"(49157,49867);(1270217,1270826)"
"[{1, 2, 18, 21}]","[]",4,1,"(96235,97104)"
"[{1, 5, 7, 8}]","[]",4,1,"(79853,80504)"
"[{1, 5, 8, 12}]","[]",4,13,"(79943,80621);(146390,146890);(554431,554956);(728123,728711);(742417,743395);(759478,760001);(775468,776739);(808058,808717);(925405,925940);(972147,972760);(1052173,1052729);(1122260,1122792);(1168086,1168651)"
"[{1, 5, 8, 17}]","[]",4,37,"(5988,6548);(33222,33728);(49093,49696);(50778,51385);(65795,66348);(67657,68533);(79925,80813);(80994,81943);(95953,97100);(97888,98757);(98758,99349);(113062,113852);(131480,132035);(145772,146274);(146872,147723);(289266,290359);(290933,291633);(306710,307343);(321708,322440);(339459,340200);(443754,444462);(459099,459638);(473547,474618);(537575,538268);(539985,540506);(554431,555271);(630496,631446);(678456,678965);(760649,761451);(775881,776515);(806809,807492);(821962,822503);(822504,823365);(940358,940858);(987653,988176);(1122181,1122914);(1266274,1267192)"
"[{1, 5, 8, 18}]","[]",4,20,"(49976,50513);(63881,64594);(80066,80659);(96328,96853);(114713,115595);(145380,145906);(146014,146667);(148026,148971);(162568,163111);(288849,289406);(305357,305963);(306582,307279);(340927,341427);(369297,369816);(410880,411416);(473912,474457);(775708,776395);(776971,777715);(807971,808699);(1168121,1168923)"
"[{1, 5, 8, 23}]","[]",4,4,"(96250,96783);(113781,114301);(114816,115328);(775940,776632)"
"[{1, 5, 12, 17}]","[]",4,1,"(1090932,1091466)"
"[{1, 7, 8, 12}]","[]",4,28,"(6501,7065);(19616,20203);(113596,114203);(145946,146456);(397386,398007);(725992,726808);(774961,775497);(808717,809228);(894846,895726);(925280,925960);(972057,972922);(1153601,1154119);(1265347,1266071);(1270304,1270977);(1274299,1274982);(1559245,1559794);(1573515,1574228);(1574391,1574978);(1695728,1696611);(1725849,1726764);(1989574,1990422);(2013611,2014120);(2066155,2066840);(2094071,2094571);(2132920,2133621);(2191245,2191801);(2229775,2230323);(2499184,2499701)"
"[{1, 7, 8, 17}]","[]",4,37,"(5644,6234);(19374,20103);(66118,66718);(79937,80661);(80924,81808);(95765,96408);(114748,115341);(323105,323619);(410838,411382);(443163,443665);(473804,474672);(708655,709357);(728028,728543);(775496,776048);(808632,809154);(821993,822493);(823094,823609);(910692,911192);(925045,925788);(972071,972618);(987626,988460);(1002793,1003294);(1003791,1004409);(1018810,1019310);(1051915,1052660);(1076571,1077072);(1091164,1091755);(1136756,1137446);(1266588,1267311);(1267312,1268124);(1268742,1269696);(1407628,1408197);(1959453,1960024);(1989440,1990168);(2167790,2168698);(2191303,2191814);(2475773,2476287)"
"[{1, 7, 8, 18}]","[]",4,27,"(65821,66409);(80066,80793);(80924,81536);(95677,96452);(145810,146499);(322370,322923);(369042,369688);(397386,398153);(441462,442145);(678521,679138);(727323,727889);(775497,776416);(895478,895987);(940667,941268);(971320,971844);(972034,972922);(1064080,1064581);(1078318,1078974);(1168679,1169258);(1515446,1515946);(1725969,1726471);(1886905,1887447);(1989363,1990187);(2191245,2191814);(2355211,2355748);(2463368,2464082);(2597045,2597652)"
"[{1, 7, 8, 21}]","[]",4,19,"(19571,20170);(80103,80770);(222151,222690);(426178,426778);(580791,581323);(837218,837718);(972057,972618);(1063834,1064581);(1077990,1078569);(1136453,1137239);(1269046,1269613);(1270275,1270948);(1695579,1696427);(1989722,1990225);(2080411,2080939);(2094071,2094571);(2144549,2145089);(2167285,2167790);(2331586,2332086)"
"[{1, 7, 8, 23}]","[]",4,7,"(1529910,1530594);(2080411,2081052);(2094071,2094571);(2191312,2191832);(2230658,2231159);(2367929,2368496);(2499275,2499775)"
"[{1, 7, 12, 18}]","[]",4,4,"(925307,925960);(1267917,1268520);(1274299,1274800);(1725969,1726471)"
"[{1, 7, 12, 21}]","[]",4,1,"(1872695,1873202)"
"[{1, 7, 17, 18}]","[]",4,2,"(80066,80588);(1277627,1278127)"
"[{1, 7, 17, 21}]","[]",4,1,"(726195,726808)"
"[{1, 7, 18, 21}]","[]",4,1,"(972057,972618)"
"[{1, 8, 9, 12}]","[]",4,10,"(5655,6155);(305318,305819);(631224,631792);(1121405,1121987);(1267371,1267936);(1271086,1271659);(1332586,1333259);(1696288,1696806);(1711862,1712455);(1739499,1740003)"
"[{1, 8, 9, 17}]","[]",4,42,"(2424,2924);(5913,6911);(6912,7451);(34075,34665);(79943,80651);(96189,97047);(98221,98726);(114538,115656);(145907,146647);(147280,148022);(161763,162365);(256311,256811);(272770,273284);(306581,307268);(308513,309018);(368916,369610);(443342,443952);(444581,445241);(492988,493698);(508421,509090);(630458,631039);(631174,631892);(693775,694343);(761751,762262);(777082,777582);(792722,793255);(821962,822784);(925688,926209);(1051886,1052387);(1105782,1106345);(1106629,1107459);(1121266,1121796);(1270825,1271362);(1271503,1272023);(1272930,1273504);(1277107,1277633);(1345956,1346574);(1362610,1363112);(1654152,1654690);(1710542,1711360);(1858269,1858785);(2039624,2040208)"
"[{1, 8, 9, 18}]","[]",4,7,"(257014,257595);(305318,305824);(306295,306886);(339095,339683);(475619,476220);(774868,775483);(1121196,1121796)"
"[{1, 8, 9, 21}]","[]",4,1,"(5739,6264)"
"[{1, 8, 9, 23}]","[]",4,1,"(146876,147737)"
"[{1, 8, 12, 17}]","[]",4,325,"(4,737);(1516,2445);(5410,6441);(6442,7065);(7066,7589);(7862,8619);(19552,20583);(33064,34101);(34102,34703);(35522,36315);(36316,37102);(37103,37717);(48635,50761);(63881,64975);(64976,66833);(68299,69211);(69212,69784);(80263,81518);(81519,82191);(82192,83005);(83574,84281);(96241,98726);(98727,99288);(113170,113830);(113831,115341);(130530,131479);(131480,132325);(132812,133622);(145813,147331);(147332,148299);(148300,149237);(151149,151702);(161763,162794);(164083,164602);(165291,166029);(179213,179796);(192796,193644);(193645,194696);(194697,196243);(196244,196893);(209893,210846);(211503,212108);(222787,223638);(224251,224885);(256942,258001);(259374,260107);(271953,272545);(273202,273907);(274419,275384);(276279,276814);(288517,289972);(289973,290802);(290942,291804);(292312,293144);(305157,306190);(306191,307541);(308514,309032);(309033,309744);(309977,311095);(324001,324827);(325508,326139);(339266,340095);(340795,341714);(355572,356658);(358309,359106);(367008,367512);(368657,369732);(369844,370696);(371290,371825);(384162,384803);(384804,385542);(397422,398285);(398286,398806);(401259,401909);(410827,412326);(412327,413372);(426005,427993);(427994,429195);(441410,442684);(442905,445813);(446359,446956);(447811,448434);(457426,457942);(457943,458450);(459056,459599);(460373,460876);(461169,461669);(473071,474497);(474498,475223);(475224,475866);(475867,476630);(476631,477371);(478612,479197);(489749,491017);(491018,491640);(491641,492273);(492993,493881);(506765,508216);(508368,509365);(521598,523187);(523188,523753);(523997,524553);(524647,525544);(526101,526695);(537149,537669);(537670,538630);(541363,542076);(553161,554103);(566317,567547);(569082,569868);(599860,600508);(613839,614356);(614547,615279);(615280,616088);(616089,616982);(616983,618048);(618225,618984);(619920,620420);(630319,632079);(632080,633300);(633396,635126);(635127,635628);(635752,636283);(645861,646499);(646500,647754);(647755,648415);(648640,649175);(649893,651125);(663550,664488);(664489,665540);(666977,667515);(678191,678768);(678769,679460);(679971,681025);(681026,682328);(694361,694999);(695240,696419);(708700,709915);(725304,728164);(728697,729751);(731923,732582);(741841,744488);(745354,745915);(746066,746925);(747236,748071);(759343,760818);(761483,762385);(762386,763083);(774750,777193);(777194,778403);(778951,779519);(790621,791624);(791625,793389);(793390,794492);(807198,809504);(810665,811663);(822002,824314);(824567,825155);(837175,838191);(839601,840167);(852029,852647);(855011,855701);(855702,856389);(866281,866802);(867092,868002);(870702,871218);(894001,896443);(897658,898335);(909080,910513);(911341,911974);(911975,913029);(924097,927059);(927194,927701);(940090,940734);(940735,942045);(942046,942603);(942604,943112);(943242,944425);(955216,957643);(957644,958515);(958516,959359);(959360,960122);(971155,973175);(973176,974267);(974418,974972);(986903,989510);(989511,990324);(1002289,1005281);(1005282,1005980);(1006144,1006950);(1018593,1020515);(1020516,1021262);(1022705,1023313);(1048664,1049547);(1049548,1050048);(1050781,1051772);(1051773,1052649);(1063987,1065437);(1076582,1079271);(1090831,1091842);(1093217,1094016);(1094145,1095070);(1095187,1095842);(1105354,1106362);(1106609,1107924);(1107925,1108732);(1108733,1109369);(1111002,1111577);(1121218,1123319);(1123320,1123839);(1124487,1124990);(1125104,1125839);(1136453,1136988);(1137115,1139676);(1140774,1141274);(1153445,1154257);(1154574,1155137);(1155138,1156839);(1156998,1157685);(1168230,1168752);(1169026,1170057);(1171504,1172353);(1183231,1184963);(1185566,1186271);(1186357,1186857);(1198619,1201141);(1264365,1265169);(1265455,1266364);(1266365,1269006);(1269007,1272375);(1272608,1273123);(1273124,1274848);(1276155,1276745);(1278138,1279020);(1279021,1279783);(1291222,1291780);(1303484,1304633);(1305234,1305911);(1317149,1318448);(1331699,1332410);(1332411,1334525);(1345963,1346552);(1346904,1347801);(1347802,1348442);(1348443,1349110);(1349154,1350105);(1350682,1351370);(1361234,1363384);(1363460,1364839);(1376451,1376952);(1376953,1378548);(1378549,1379380);(1392433,1393108);(1395736,1396259);(1406889,1407787);(1407788,1408737);(1408738,1409375);(1409993,1410810);(1461122,1461622);(1462208,1462958);(1473618,1474527);(1475841,1476479);(1487506,1488626);(1501781,1502629);(1515424,1516903);(1529738,1530427);(1530428,1531654);(1544655,1545171);(1545429,1546110);(1559297,1560626);(1561096,1561757);(1573515,1574516);(1587371,1588001);(1589413,1589983);(1638639,1640177);(1640785,1641298);(1641299,1641893);(1652761,1653511);(1653512,1654656);(1654657,1655441);(1666622,1667206);(1667862,1668524);(1668525,1669543);(1681047,1681993);(1695987,1696577);(1710088,1711514);(1711515,1712170);(1713547,1714047);(1724962,1725605);(1725606,1726457);(1726458,1727375);(1739509,1740154);(1754455,1755032);(1778588,1779100);(1802667,1803945);(1816884,1817409);(1830450,1831210);(1843998,1844639);(1844640,1845263);(1857852,1859048);(1872963,1873495);(1874122,1875083);(1901030,1901551);(1956217,1956771);(1991870,1992379);(2002352,2003173);(2012986,2014175);(2014734,2015234);(2026327,2026866);(2040578,2041250);(2052222,2053682);(2053732,2055338);(2066163,2067273);(2067274,2067905);(2068654,2069197);(2081698,2082198);(2094013,2094524);(2106982,2107630);(2191139,2191963);(2192064,2192650);(2204008,2204692);(2205195,2205703);(2229775,2230817);(2230976,2231519);(2369164,2369677)"
"[{1, 8, 12, 18}]","[]",4,255,"(1134,2089);(5465,6993);(19552,20727);(34338,35082);(48635,50925);(51158,52167);(64413,65012);(65644,66910);(79866,80955);(80956,81570);(81571,82399);(82913,83916);(96209,97862);(98642,99478);(112946,113724);(114490,115249);(115477,116012);(116013,116514);(129673,130180);(131224,131841);(145973,146941);(148026,148977);(161763,163414);(163545,164558);(166141,166728);(179510,180175);(193644,194765);(210092,210630);(223327,223849);(223999,224788);(256775,257884);(258584,259084);(271953,272547);(272743,273943);(288660,289263);(289333,289833);(305157,306318);(306319,307381);(321961,322471);(323024,323603);(323872,324827);(324828,325394);(338817,339789);(340924,341518);(354963,356079);(358399,359018);(369019,369731);(371084,371776);(384002,384710);(397386,398806);(411352,412007);(412008,413820);(413821,414526);(426005,428135);(428136,429025);(441528,442624);(443434,445372);(445373,446026);(457672,458789);(458790,459562);(473387,474579);(475373,477583);(489749,491017);(493704,494317);(506016,506675);(506965,507818);(508155,509227);(521598,522722);(522723,523468);(523535,524355);(537149,538876);(538877,539588);(554109,554956);(569082,569868);(599312,600508);(600996,601622);(601623,602204);(613839,614920);(617335,617897);(618266,618848);(630424,632079);(633408,634692);(646533,647483);(648094,648718);(648928,649674);(649675,650187);(651040,651540);(662891,663818);(664469,665212);(669011,669524);(678243,679035);(679036,679555);(681244,682641);(694222,695053);(695259,695990);(708967,709662);(725304,726895);(726896,727514);(727515,728274);(728945,729836);(729837,730567);(739393,739911);(741873,744418);(744419,744934);(745184,746168);(747986,748786);(758792,760139);(760633,761384);(761885,762385);(762386,763140);(774671,777067);(777068,778030);(790741,792947);(793389,794049);(807195,808143);(808144,809217);(822340,824670);(837301,837849);(837850,838472);(838940,839466);(851933,852647);(853723,854431);(855290,855810);(866584,867134);(881056,882218);(894001,896157);(896449,897006);(897625,898356);(909352,910206);(911048,912132);(924023,926327);(926328,927059);(927060,927942);(940090,940866);(940867,942872);(955195,955708);(955709,957492);(971219,972267);(972268,973605);(987461,988774);(988775,989661);(989662,990485);(1003113,1005124);(1005125,1006340);(1006341,1006861);(1018838,1019721);(1019814,1020587);(1048672,1049249);(1063674,1065491);(1076696,1077831);(1077832,1079144);(1090560,1091842);(1092391,1092901);(1092902,1093857);(1094491,1095066);(1105586,1106128);(1106733,1107667);(1107668,1108732);(1121405,1122659);(1122660,1123319);(1125200,1125736);(1138452,1139333);(1167811,1169026);(1171613,1172212);(1183353,1183874);(1184447,1185241);(1185343,1186281);(1198809,1199396);(1199933,1200938);(1265161,1269589);(1269590,1272361);(1272362,1275145);(1275146,1276559);(1278353,1279081);(1282221,1282815);(1291222,1292039);(1293418,1294204);(1303252,1304334);(1305005,1305562);(1317785,1318987);(1331204,1331936);(1332629,1334010);(1345963,1346759);(1346892,1347450);(1348180,1348746);(1362277,1363384);(1377674,1378657);(1391893,1393127);(1407382,1408829);(1448874,1449668);(1473865,1474368);(1475526,1476628);(1487742,1489348);(1501125,1502088);(1502807,1503441);(1503442,1504364);(1515446,1516170);(1529738,1530399);(1530400,1531251);(1544604,1545218);(1559282,1560273);(1573515,1575443);(1614205,1614705);(1614706,1615404);(1615405,1616333);(1616746,1617253);(1626945,1628785);(1639104,1640519);(1653490,1654220);(1666622,1667206);(1667954,1668524);(1668763,1669566);(1681047,1682822);(1695501,1696647);(1710088,1711443);(1711584,1712123);(1725033,1725564);(1725565,1726877);(1739609,1740154);(1740155,1741001);(1753882,1754382);(1766484,1767026);(1802599,1803891);(1816060,1816950);(1829884,1830799);(1830800,1831332);(1843502,1844217);(1844218,1844990);(1857844,1858749);(1872315,1873268);(1886769,1887384);(1900932,1901543);(1927579,1928502);(2001815,2002338);(2002339,2002984);(2012973,2014309);(2038807,2040080);(2040723,2041307);(2052218,2052965);(2053854,2054753);(2066161,2067273);(2080411,2081609);(2094013,2094571);(2107588,2108437);(2156680,2157339);(2167321,2167971);(2191245,2191860);(2191861,2192624);(2230158,2230890);(2231101,2231825);(2242961,2243530);(2255993,2256849);(2300318,2300875);(2309389,2309962);(2428679,2429251)"
"[{1, 8, 12, 21}]","[]",4,112,"(5465,6511);(6767,7389);(19638,20892);(34322,34897);(49061,49875);(80052,80661);(96235,96846);(96847,97544);(114533,115211);(163771,164458);(193594,194417);(222136,222690);(289215,289907);(305157,306109);(338567,339266);(339362,340217);(367008,367513);(368573,369237);(397384,398163);(410969,411923);(412520,413377);(414526,415319);(426565,427148);(427149,427957);(428276,429025);(443806,444419);(473298,474307);(523753,524380);(553310,553827);(568927,569455);(599629,600552);(615848,616538);(618273,618773);(630898,631635);(647797,648729);(664295,665124);(681250,682059);(694027,694859);(708523,709458);(725304,727013);(727404,727948);(729237,729836);(739392,740380);(743197,744287);(762160,762781);(774870,775592);(807050,807778);(808496,809126);(822299,822914);(837301,838168);(867002,867850);(882512,883172);(894147,895082);(895083,895683);(911481,912094);(924376,925386);(926903,927855);(940866,941423);(955216,955793);(956397,956929);(987233,988060);(1003702,1004396);(1004397,1005063);(1063674,1065215);(1076687,1077571);(1078181,1079036);(1079667,1080253);(1090801,1091539);(1093132,1093702);(1106853,1107787);(1121499,1122468);(1138456,1138958);(1167811,1168764);(1184340,1185241);(1185462,1185963);(1186453,1187014);(1198619,1199623);(1199624,1200261);(1213068,1213749);(1265422,1266200);(1266201,1267630);(1267741,1268331);(1268413,1268913);(1268914,1270303);(1270304,1270810);(1271125,1272062);(1272180,1273036);(1273037,1274046);(1291295,1291873);(1377229,1378059);(1407962,1408755);(1529910,1530474);(1573504,1575040);(1601227,1601801);(1616708,1617268);(1626993,1627592);(1639104,1640107);(1669300,1669806);(1740473,1741048);(1803080,1803729);(1829385,1829959);(1857789,1858625);(1886901,1887629);(1989684,1990475);(2001954,2002518);(2012986,2013558);(2013559,2014071);(2038834,2039337);(2066149,2066651);(2093993,2094865);(2167363,2167875);(2191139,2191860)"
"[{1, 8, 12, 23}]","[]",4,85,"(6846,7444);(19552,20103);(80621,81197);(96579,97096);(116070,116576);(146087,146679);(161813,162478);(179213,179796);(306407,307008);(355453,356257);(397884,398568);(410969,411624);(460293,460793);(490459,491013);(553128,553641);(616069,616595);(694212,694731);(708691,709283);(743283,743985);(759332,760343);(775335,776547);(822475,823239);(823240,823968);(837301,837825);(852025,852647);(867092,867606);(894904,895702);(909268,910040);(940579,941516);(941924,942650);(957696,958244);(972147,973049);(987233,987866);(988630,989369);(989921,990485);(1004245,1005124);(1006446,1007048);(1051886,1052729);(1063796,1064609);(1076543,1077226);(1090966,1091779);(1108004,1108513);(1121499,1122235);(1138452,1139514);(1167695,1168625);(1183388,1183925);(1184189,1184816);(1198885,1199438);(1265422,1266230);(1266750,1268029);(1268030,1269046);(1270218,1270945);(1271086,1271650);(1273321,1273917);(1273918,1274567);(1292039,1292540);(1304073,1304692);(1305365,1305990);(1318963,1319474);(1331422,1331985);(1332328,1332837);(1362611,1363589);(1364014,1364642);(1407228,1407796);(1407797,1408499);(1529910,1530937);(1544604,1545153);(1573657,1574506);(1601294,1601839);(1602742,1603412);(1652763,1653264);(1654602,1655203);(1695501,1696181);(1740282,1741001);(1753924,1754454);(1766641,1767184);(1802834,1803424);(1816884,1817409);(1857844,1858701);(1901024,1901551);(2039288,2039947);(2066705,2067205);(2067206,2067914);(2132520,2133034);(2133624,2134130)"
