pattern_components,pattern_gaps,pattern_size,intervals_count,intervals
"[{1, 3, 11, 148}]","[]",4,43,"(422,1036);(12927,13516);(32708,33400);(82902,83632);(107919,108519);(187096,187757);(189304,189805);(205128,205645);(216193,216721);(223588,224464);(263678,264246);(294499,295012);(329267,329839);(337666,338190);(350044,350544);(379317,379820);(410991,411501);(414913,415668);(432946,433638);(483302,483845);(485470,486049);(486278,487013);(496714,497215);(504295,504796);(541867,542396);(591100,591656);(608632,609150);(647483,648012);(659778,660278);(708674,709179);(761385,762093);(771386,772293);(805928,806465);(830387,830999);(842076,842577);(843074,843580);(848558,849109);(866049,866675);(891116,891616);(891617,892405);(933981,934685);(973441,974278);(985410,985950)"
"[{1, 3, 11, 218}]","[]",4,81,"(12927,13632);(32708,33400);(62363,63081);(82902,83678);(151225,151861);(152733,153273);(155751,156280);(156810,157527);(164489,165166);(180431,180999);(187096,187757);(201225,201748);(205128,205645);(212679,213225);(216193,216899);(224059,224577);(260078,260578);(263678,264495);(272956,273582);(294499,295012);(302872,303461);(309749,310257);(315957,316765);(321163,321677);(329254,329839);(337425,338041);(350044,350544);(361228,361728);(376023,376529);(389088,389638);(391613,392278);(397069,397585);(404162,404699);(405553,406053);(408057,408824);(418022,418680);(432946,433638);(437217,437747);(445492,446061);(482272,482844);(483107,483845);(486249,486910);(496923,497485);(506864,507535);(520353,521178);(535980,536643);(541867,542396);(543125,543625);(553926,554864);(574978,576126);(587452,588127);(591100,591656);(600168,600803);(608998,609579);(649001,649539);(659778,660278);(705077,705773);(708674,709179);(712054,712955);(730226,730777);(761514,762093);(770456,771077);(771386,772293);(773408,773909);(794561,795225);(805954,806674);(830387,830999);(842076,842680);(843074,843580);(866049,866675);(879303,879893);(886610,887454);(900952,901452);(910037,910617);(912596,913096);(913723,914223);(927376,928119);(933981,934685);(948757,949368);(973441,974278);(985101,985906)"
"[{1, 3, 148, 218}]","[]",4,57,"(12927,13516);(32708,33400);(82902,83681);(93735,94245);(107919,108519);(156810,157527);(164489,165092);(187096,187757);(200954,201748);(205128,205645);(212679,213225);(216193,216721);(237158,237852);(272956,273727);(294570,295170);(299961,300630);(329267,329839);(337425,338041);(351702,352202);(376023,376529);(391548,392278);(407986,408824);(414913,415668);(432946,433638);(454352,454852);(466926,467426);(471497,472216);(486265,487013);(497215,497715);(504295,504796);(541867,542396);(608632,609150);(647483,648012);(659778,660278);(676036,676653);(708674,709179);(716806,717306);(721355,721855);(741138,741639);(761353,762094);(771386,772293);(801658,802256);(805954,806465);(827456,828032);(830387,830887);(842169,842680);(843074,843580);(849782,850410);(865964,866675);(891199,892088);(897711,898223);(912596,913096);(913723,914223);(927145,928119);(933312,933981);(969248,969767);(973441,974278)"
"[{1, 4, 6, 11}]","[]",4,3,"(223787,224423);(284238,284839);(484926,485671)"
"[{1, 6, 7, 11}]","[]",4,525,"(5,528);(529,1236);(5813,6657);(8397,9372);(9913,10880);(11825,12358);(12695,13888);(16176,16816);(18075,18699);(18700,19544);(20326,20920);(23130,23909);(28158,29164);(29554,30498);(33003,33930);(33931,34628);(34629,35164);(35712,36285);(37124,37713);(37836,38352);(41637,42152);(42525,43716);(43717,44516);(45889,46924);(47492,48547);(50730,51285);(51413,51935);(52147,52659);(53278,54494);(55193,55737);(56928,57551);(59346,60417);(62377,63011);(63190,63739);(66147,66911);(66912,67849);(68729,69872);(71679,72244);(73425,74334);(74524,75151);(75152,75962);(75963,76976);(77071,78066);(80297,81243);(81884,82569);(83632,84696);(84697,85744);(87097,87705);(90116,90639);(90640,91695);(92471,93000);(93001,93735);(94724,96095);(100111,101123);(101432,102102);(103955,104480);(104481,105306);(105998,106816);(108215,109013);(109803,110564);(113945,115104);(115693,116211);(117073,117626);(121843,122462);(122671,123632);(123855,124388);(125127,126486);(127344,128063);(128545,129052);(133057,134438);(135137,135811);(136892,137562);(138514,139102);(139482,140403);(140550,141050);(142450,142977);(143181,143742);(143882,144918);(145930,147097);(147983,148934);(149782,150539);(152660,153503);(153666,154703);(154941,155561);(159994,160587);(160588,161261);(162789,163970);(163971,164639);(164640,165511);(166725,167384);(167385,168025);(168026,168832);(169084,170135);(173230,174085);(174808,175368);(176700,177546);(177547,178758);(181893,183010);(183908,185339);(188140,188724);(189407,190308);(196859,197365);(197593,198279);(200693,201705);(207696,208461);(210447,210948);(211676,212193);(212325,212873);(214963,215463);(215649,216441);(216530,217030);(217031,217710);(217993,218502);(219907,220750);(222188,222725);(223783,224945);(225153,225891);(227355,227914);(229815,230358);(236355,237439);(241117,241617);(241761,242641);(243111,245074);(245844,246529);(248081,248966);(249480,250470);(250471,251336);(252378,252991);(254138,254888);(254889,255452);(256022,256798);(260140,261020);(261576,262464);(263095,263835);(270105,271011);(271653,272564);(272976,273726);(274123,275888);(278501,279012);(279392,280276);(281469,282574);(283109,284350);(284351,285153);(286229,287524);(288138,289380);(290471,291176);(292233,293054);(293055,293977);(294158,296040);(297301,297843);(298802,299647);(299862,300415);(300416,301088);(301089,302436);(302666,303480);(303660,304310);(304441,305042);(305735,307212);(307837,308460);(309257,310177);(310178,311126);(312119,313449);(313605,314281);(315242,316092);(316093,316926);(318778,319330);(320705,321845);(321846,322575);(322576,323350);(326605,327765);(329821,330821);(331272,332630);(333361,333978);(335682,336798);(336799,337968);(338481,339443);(342744,343283);(344255,344860);(346333,347572);(348346,349236);(349823,350412);(351673,352590);(352591,353153);(354370,355063);(355254,355879);(356013,357097);(357098,358562);(358563,359090);(359091,360939);(361072,361632);(361633,362226);(362462,363210);(363456,364009);(366441,367276);(368736,369286);(369287,370368);(371685,372726);(372870,373667);(374786,375776);(376693,377510);(377757,379072);(379073,379849);(379943,380461);(381751,382758);(383188,383688);(388990,389889);(390809,391918);(395419,396105);(397047,398069);(398339,399127);(401066,401758);(406545,407252);(407253,408131);(408261,409213);(410138,410828);(410829,411932);(412134,412635);(415244,415871);(418053,418680);(420073,421595);(421596,422474);(422475,423042);(423043,423724);(423725,424637);(428294,429085);(431018,431703);(432820,433854);(437262,438008);(440358,441092);(442928,443978);(445777,446708);(447549,448090);(450488,451205);(451206,452347);(454026,454629);(454948,455635);(456650,457561);(459336,460152);(463413,464687);(464688,465289);(465290,466067);(467754,468254);(470526,471557);(479022,479922);(481603,482172);(483238,483857);(485372,486301);(486535,487073);(487219,488737);(489359,489887);(490737,492194);(492195,492885);(494579,495412);(497857,498547);(498920,499607);(499608,500558);(503729,505002);(505609,506840);(507437,508569);(509095,509649);(510326,511064);(512284,512835);(512836,513513);(513514,514146);(514147,514824);(515619,516137);(517303,518663);(518887,519679);(523853,524364);(524365,525055);(525142,525757);(525758,526485);(526486,527030);(527031,527894);(527895,528475);(530200,531215);(531705,532205);(532206,533188);(535707,536248);(536249,536873);(537070,537925);(537926,538620);(538881,540253);(540386,540887);(541778,542792);(542793,543323);(543324,544349);(544681,545636);(546577,547085);(548380,548924);(549205,550664);(551667,552885);(555178,555877);(556879,557382);(557383,558081);(558301,558887);(559075,559743);(559744,560582);(563902,565628);(566251,566889);(568727,570082);(574404,575447);(575838,576386);(577890,578396);(579060,580353);(584561,585090);(585091,585920);(586929,587429);(587430,588021);(588022,588883);(588884,589494);(589495,590041);(590779,591971);(593850,595209);(595210,595947);(598517,599182);(600955,601536);(602850,603446);(604276,605083);(606288,607015);(608434,609809);(610625,611148);(613704,614226);(614538,615061);(618443,620193);(623885,624457);(624458,625018);(625250,626222);(628462,629392);(629613,631117);(631173,632122);(634390,634970);(636339,637563);(637740,638422);(640181,640831);(641758,643681);(644611,645158);(645394,646396);(646607,647666);(648214,648795);(650418,651137);(654405,655016);(658475,659202);(660628,661256);(662526,663036);(664055,664586);(666020,666527);(667426,668135);(668666,669272);(669447,670095);(676534,677734);(679537,680588);(682294,683205);(684997,686068);(692161,692938);(693528,694550);(696014,696904);(696905,697764);(697765,698388);(698956,699738);(700913,701521);(702051,703278);(704159,705853);(707051,707551);(708439,709099);(709678,710463);(711483,712205);(712206,713371);(713372,714114);(714959,715753);(716470,717367);(719626,720192);(723038,723991);(723992,725076);(725762,726676);(726677,727308);(727309,727959);(729111,730045);(730594,731269);(732704,733386);(734545,735343);(735344,736977);(737246,737784);(737902,738725);(741025,741950);(744654,745157);(745459,746083);(747619,748783);(748970,749518);(750303,751108);(753882,754848);(754962,755510);(756495,757644);(757974,758936);(759244,759895);(759896,760508);(761490,762281);(762468,763078);(765020,765520);(765879,766523);(767140,767648);(769070,769864);(770689,771263);(771898,773274);(773275,774023);(776727,777235);(777794,778446);(779685,780220);(781570,782630);(783584,784319);(785620,786766);(788735,789473);(792788,794243);(796076,797013);(798858,799761);(799762,801065);(801156,802520);(803348,803933);(804714,805264);(806343,806947);(807159,807756);(809585,810531);(811231,812103);(812104,812812);(816479,817091);(818832,819332);(820184,821003);(823459,823959);(823960,824695);(826378,827171);(829418,830661);(830784,831330);(831331,832633);(834126,835285);(836262,837307);(839293,839802);(842026,842527);(842680,843187);(844528,845072);(845073,846052);(847528,848178);(848487,849038);(849501,850091);(850092,850876);(852312,853133);(853416,854614);(854615,855154);(856349,857190);(857326,858208);(858478,859261);(859396,860000);(861193,861836);(862326,863483);(864058,864558);(864761,865693);(865963,867595);(869668,870268);(870695,871310);(871311,872187);(872188,874383);(875301,875863);(875864,876882);(876883,877734);(879657,880347);(880348,881493);(881494,882329);(882330,883335);(886381,887936);(892305,892859);(892860,894322);(894443,895415);(895416,896065);(896614,897879);(897880,899003);(899541,900065);(900666,902110);(902335,903402);(907152,907652);(908075,909000);(909001,909677);(910103,911066);(913895,914465);(914466,915949);(915950,917167);(917966,918556);(918557,919117);(919118,919960);(919961,920631);(922075,922700);(930256,931117);(933235,933912);(933913,934609);(936201,936852);(938813,939935);(940046,940743);(940838,941362);(941806,942718);(943600,944583);(944584,945277);(945278,946079);(946242,947402);(947905,948536);(948777,949742);(951036,951547);(953095,954025);(957114,957636);(957637,958264);(959631,960230);(960951,961792);(962417,963113);(965342,966388);(967575,968104);(968870,969789);(972767,973283);(973920,974487);(974488,975309);(978045,978712);(979999,980592);(980593,982049);(983740,984525);(984526,985638);(985709,986279);(986437,987382);(987530,988660);(989394,989948)"
"[{1, 6, 7, 27}]","[]",4,106,"(207,1070);(8485,9087);(9736,10547);(22252,22752);(24774,25298);(50380,51067);(53261,53852);(59555,60159);(66874,67428);(68926,69479);(73127,73627);(75831,76388);(92790,93634);(99845,100361);(104620,105245);(108215,109013);(133057,133757);(133758,134318);(138405,139102);(144179,144748);(151480,151992);(163743,164271);(196632,197365);(201044,201567);(202699,203268);(227006,227507);(265217,265798);(271942,272452);(294812,295348);(297300,297843);(302821,303728);(305917,306775);(310177,310729);(312590,313205);(320459,321004);(321005,321670);(326874,327412);(331861,332630);(335652,336693);(358009,358612);(359279,360272);(388973,389551);(407226,407943);(410991,411639);(418033,418552);(428294,429203);(451513,452119);(454948,455673);(459275,459897);(463713,464213);(479715,480247);(485294,486007);(487906,488737);(525589,526090);(538881,539554);(554899,555601);(567470,567970);(569519,570082);(579531,580059);(595236,595947);(608523,609478);(621531,622067);(625250,625977);(628391,629239);(637372,638207);(643038,643560);(645920,646448);(668665,669272);(676531,677544);(682294,682880);(692161,692842);(697138,697764);(698915,699416);(702348,703115);(709586,710197);(716027,717169);(734316,735068);(747739,748489);(759665,760254);(771499,772089);(772366,773067);(788353,789286);(800544,801061);(801296,802067);(819444,819961);(834291,835126);(857546,858208);(864058,864558);(866433,867018);(868207,868720);(871238,871847);(873605,874220);(880348,880883);(886527,887253);(892059,892597);(898064,898564);(901053,901842);(908276,909024);(910081,911061);(917638,918352);(938813,939738);(943633,944271);(950764,951377);(982580,983107);(983740,984350);(984918,985575)"
"[{1, 6, 7, 148}]","[]",4,3,"(410991,411501);(451194,452023);(463713,464213)"
"[{1, 6, 7, 218}]","[]",4,14,"(219934,220491);(249486,250062);(312331,312930);(428420,428974);(463713,464213);(530358,530858);(608587,609124);(634136,634670);(638806,639324);(676921,677544);(798858,799614);(866049,866582);(886622,887253);(965581,966244)"
"[{1, 6, 11, 14}]","[]",4,1,"(211448,212003)"
"[{1, 6, 11, 25}]","[]",4,2,"(530454,530954);(750905,751406)"
"[{1, 6, 11, 27}]","[]",4,283,"(195,1070);(2507,3032);(8485,9372);(9736,10547);(12980,13541);(17982,18570);(18699,19506);(22166,22929);(24147,25232);(30273,30919);(39133,39943);(42320,43176);(45936,46779);(47492,48160);(50380,51163);(53492,54070);(54494,54994);(56870,57865);(59346,60349);(63748,64351);(65178,65803);(66038,66950);(71547,72445);(75831,76388);(78733,79338);(79339,80176);(80312,81190);(92884,93643);(93840,94340);(99992,101052);(104620,105245);(105637,106816);(108215,109035);(112773,113277);(115992,116531);(119872,120392);(127290,128007);(133421,133951);(134687,135932);(138236,139102);(147781,148722);(149885,150539);(169084,170135);(172924,173424);(173425,174485);(177085,177759);(177760,178488);(182759,183485);(189755,190394);(196632,197637);(198157,198728);(203590,204367);(208821,209403);(219704,220678);(236648,237275);(241997,242641);(244574,245335);(250244,250744);(255868,256376);(262601,263233);(270317,271121);(271942,272452);(272853,273643);(275006,275761);(279557,280227);(281469,282272);(286230,286890);(293691,294278);(294710,295452);(296787,297402);(305705,306775);(309288,310229);(310230,310748);(312118,313205);(313755,314281);(316376,316893);(320498,321004);(321005,321852);(328907,329665);(330068,330747);(331392,332523);(335273,336669);(338741,339362);(351763,352590);(355825,356686);(359655,360392);(368736,369334);(369543,370721);(371400,371900);(371949,372487);(372988,373587);(378007,378738);(379508,380461);(382239,382803);(383529,384039);(390808,391814);(397181,397994);(399507,400061);(401216,401758);(401990,402499);(406580,407144);(410828,411765);(415660,416177);(418052,418552);(420933,421441);(421442,422371);(423721,424400);(427171,427755);(428471,429155);(431057,431592);(432208,433072);(433073,433656);(437259,437900);(441093,441838);(443164,443711);(444461,445197);(445778,446422);(447428,448286);(451194,452119);(454014,454799);(454800,455663);(463713,464213);(477256,478586);(479457,480247);(482873,483541);(485236,486007);(488271,488841);(491215,491881);(497354,498089);(499559,500078);(505353,506311);(507792,508293);(510210,510793);(512241,512798);(512799,513711);(516591,517302);(517303,517822);(523887,524636);(527600,528475);(530359,531020);(532296,533112);(537121,537830);(538808,539831);(541330,541899);(544797,545636);(547150,547792);(553027,553848);(555167,555684);(557491,558039);(561245,562134);(563902,564821);(567470,567970);(569443,570082);(574858,575543);(575544,576070);(579656,580457);(585653,586169);(586805,587458);(588014,588753);(588754,589596);(594369,595083);(595084,595738);(601035,601536);(608455,609636);(619268,620001);(625250,626094);(628391,629239);(629880,630396);(630397,630980);(632106,632608);(642529,643672);(644472,645026);(646890,647666);(658595,659200);(660198,660801);(660802,661430);(666020,666527);(670766,671389);(671528,672070);(673381,673976);(675256,675814);(676534,677734);(678468,679031);(679674,680519);(680955,681531);(682294,683045);(684924,685528);(693526,694051);(695663,696288);(696289,697009);(697611,698520);(698894,699808);(702348,702945);(703067,703567);(705462,705977);(707480,707980);(708172,708684);(709586,710463);(711217,711972);(714001,714618);(716027,717169);(720549,721476);(722330,723173);(723892,725221);(732469,733271);(734085,734612);(734613,735239);(739258,739773);(739774,740343);(741179,741825);(747974,748517);(754537,755037);(755038,755811);(755812,756494);(757152,758142);(759374,759887);(768158,768658);(774821,775362);(777618,778118);(786059,786571);(787054,787556);(788353,789286);(789826,790351);(793041,794112);(800131,800852);(801296,802089);(803416,803933);(809764,810531);(816246,816747);(816748,817315);(819067,819965);(821837,822406);(824958,825459);(830531,831330);(833400,834161);(837016,837654);(850011,850550);(852312,852812);(860568,861353);(863966,864558);(866178,867413);(868207,868720);(871238,872126);(872127,872651);(873194,874220);(875559,876112);(879095,879656);(879657,881417);(884348,885218);(886527,887253);(887254,887890);(893321,894144);(894145,894729);(896879,897472);(898006,898564);(898762,899372);(900723,901975);(902335,903004);(908075,909065);(910196,911326);(913723,914223);(914224,915760);(916504,917004);(917638,918556);(919072,919895);(920152,920754);(925862,926709);(933336,933912);(936203,936863);(938676,939738);(951036,951547);(952668,953394);(955652,956414);(959603,960262);(961103,961604);(972767,973283);(973920,974521);(974522,975071);(980120,980769);(980832,981332);(982580,983107);(983650,984151);(986458,987191)"
"[{1, 6, 11, 40}]","[]",4,7,"(201054,201657);(645427,646059);(659766,660269);(758645,759145);(761522,762255);(848548,849357);(954166,954866)"
"[{1, 6, 11, 55}]","[]",4,1,"(80455,80971)"
"[{1, 6, 11, 56}]","[]",4,7,"(349896,350412);(506488,507057);(575921,576602);(589219,589719);(647064,647564);(915260,915760);(945950,946451)"
"[{1, 6, 11, 64}]","[]",4,88,"(2534,3219);(14271,15046);(17730,18449);(39287,40130);(42525,43033);(47357,47857);(64200,64826);(66993,67517);(75874,76798);(78578,79192);(80374,81188);(97173,97825);(100342,100961);(107885,108385);(117884,118384);(125137,125702);(128117,128891);(133734,134358);(140774,141283);(145668,146267);(161581,162096);(177623,178167);(196831,197480);(197481,198144);(211140,212215);(212344,212872);(226655,227155);(228771,229277);(236355,237185);(237341,237866);(251061,251651);(252238,252874);(292318,292818);(296786,297293);(312439,313144);(316381,316882);(361380,361895);(362428,363210);(374868,375368);(384103,384751);(387447,388023);(397332,397903);(406127,406627);(427258,427885);(485253,485883);(494247,495299);(496812,497313);(497865,498437);(503864,504810);(515466,516214);(523790,524309);(557300,557800);(566995,567656);(572535,573179);(585652,586204);(588181,588750);(605215,605734);(608626,609186);(622828,623394);(640043,640649);(641788,642453);(645661,646403);(654183,655133);(657160,657784);(668665,669605);(673869,674369);(675235,675849);(684924,685512);(687815,688562);(693199,693699);(693700,694337);(708530,709214);(741413,741950);(770625,771499);(785666,786590);(794770,795684);(821289,821914);(833970,834470);(846544,847092);(872250,872993);(874076,874729);(876112,876882);(889579,890161);(908868,909510);(915128,915631);(915632,916319);(925680,926235);(960958,961507)"
"[{1, 6, 11, 69}]","[]",4,2,"(739680,740180);(954025,954526)"
"[{1, 6, 11, 77}]","[]",4,79,"(13802,14346);(28581,29118);(29430,29954);(30626,31188);(36434,36980);(42983,43570);(58304,58890);(66928,67615);(71565,72258);(73660,74299);(74524,75078);(76910,77476);(80373,81233);(97432,98139);(122068,122934);(125589,126438);(136150,136678);(142977,143923);(145725,146225);(177504,178185);(180234,180735);(190920,191841);(197763,198276);(208829,209624);(219260,219763);(235301,235919);(236446,236946);(239091,239593);(254275,254866);(255710,256376);(256377,257091);(276924,277424);(290566,291165);(293470,293977);(300584,301084);(312192,312986);(315511,316011);(318709,319295);(330739,331418);(347031,347532);(370994,371558);(384639,385140);(388295,388914);(407308,408033);(408368,408957);(410342,410991);(439967,440467);(459065,459879);(465218,465767);(496422,497359);(512852,513438);(547652,548172);(550471,551353);(583232,583772);(628461,629129);(629130,629695);(660245,660745);(693200,694051);(697907,698520);(708932,709503);(716101,716841);(724252,725034);(732406,732959);(739606,740308);(741130,741758);(750779,751396);(795471,796005);(806442,807006);(859193,860030);(866777,867325);(867428,867957);(914407,914985);(915813,916635);(929921,930789);(941826,942356);(954091,954595);(975847,976573);(980069,980635);(981942,982452)"
"[{1, 6, 11, 83}]","[]",4,13,"(75932,76457);(261426,262186);(298861,299606);(401132,401758);(485294,485831);(487541,488100);(585461,586036);(588011,588667);(735934,736526);(812052,812552);(901130,901962);(913723,914223);(977496,978132)"
"[{1, 6, 11, 90}]","[]",4,48,"(32571,33269);(80433,81237);(116279,116991);(133665,134215);(234464,235018);(237538,238208);(304256,305024);(319241,319741);(349506,350105);(376857,377391);(388690,389219);(389220,389879);(401180,401691);(485466,485990);(504010,504511);(516628,517128);(550748,551327);(556986,557512);(588587,589284);(593680,594192);(623196,623715);(641052,641587);(648172,648754);(653956,654475);(695735,696238);(720688,721223);(739518,740308);(740516,741052);(757668,758219);(759009,759576);(772824,773542);(794384,795262);(846200,846925);(853362,853862);(868782,869529);(893027,893527);(897374,898006);(906191,906707);(906010,906607);(907582,908289);(913723,914223);(921217,921803);(927617,928230);(933308,933845);(935732,936491);(954006,954848);(965289,965837);(969701,970265)"
"[{1, 6, 11, 135}]","[]",4,6,"(124962,125462);(224127,224668);(312831,313468);(415384,415903);(907803,908326);(915315,916010)"
"[{1, 6, 11, 136}]","[]",4,8,"(36459,37287);(117208,117729);(199881,200400);(410342,410905);(415740,416327);(659775,660501);(679537,680126);(741192,741993)"
"[{1, 6, 11, 138}]","[]",4,13,"(61674,62202);(78578,79169);(204989,205489);(288915,289607);(371366,372150);(411164,411823);(506311,506864);(558396,559003);(604148,604764);(635676,636461);(636696,637315);(744402,744902);(969533,970037)"
